word;translation;example_sentence;transition_sentence
suggestion; Vorschlag; it's a suggestion; es ist ein Vorschlag
suit; Anzug/passen; it's a suit/it suits me; es ist ein Anzug/es passt mir
suitable; geeignet; it's suitable; es ist geeignet
sum; Summe; what is the sum?; was ist die Summe?
summarize; zusammenfassen; they summarize the text; sie fassen den Text zusammen
summary; Zusammenfassung; it's a summary; es ist eine Zusammenfassung
summer; Sommer; it's summer; es ist Sommer
sun; Sonne; it's the sun; es ist die Sonne
sunday; Sonntag; it's sunday; es ist Sonntag
supermarket; Supermarkt; it's a supermarket; es ist ein Supermarkt
supply; liefern/Versorgung; they supply the goods/it's the water supply; sie liefern die Güter/es ist die Wasserversorgung
support; unterstützen/Unterstützung; they support the team/it's the support; sie unterstützen das Team/es ist die Unterstützung
supporter; Unterstützer; he is a supporter; er ist ein Unterstützer
suppose; annehmen; I suppose it's true; ich nehme an, es ist wahr
sure; sicher; I am sure; ich bin sicher
surely; sicher; surely it's true; sicher ist es wahr
surface; Oberfläche; it's the surface; es ist die Oberfläche
surgery; Operation; it's a surgery; es ist eine Operation
surprise; überraschen; they surprise me; sie überraschen mich
surprised; überrascht; I am surprised; ich bin überrascht
surprising; überraschend; it's surprising; es ist überraschend
surround; umgeben; they surround the building; sie umgeben das Gebäude
surrounding; umgebend; it's the surrounding area; es ist die umgebende Gegend
survey; Umfrage; it's a survey; es ist eine Umfrage
survive; überleben; they survive the accident; sie überleben den Unfall
suspect; verdächtigen; they suspect him; sie verdächtigen ihn
swear; schwören; they swear an oath; sie schwören einen Eid
sweater; Pullover; it's a sweater; es ist ein Pullover
sweep; fegen; they sweep the floor; sie fegen den Boden
sweet; süß; it's sweet; es ist süß
swim; schwimmen; I swim; ich schwimme
swimming; Schwimmen; I like swimming; ich mag Schwimmen
switch; Schalter/wechseln; it's a switch/they switch the channel; es ist ein Schalter/sie wechseln den Kanal
symbol; Symbol; it's a symbol; es ist ein Symbol
sympathy; Mitgefühl; I have sympathy; ich habe Mitgefühl
symptom; Symptom; it's a symptom; es ist ein Symptom
system; System; it's a system; es ist ein System
t-shirt; T-Shirt; it's a t-shirt; es ist ein T-Shirt
table; Tisch; it's a table; es ist ein Tisch
tablet; Tablette; it's a tablet; es ist eine Tablette
tail; Schwanz; it's a tail; es ist ein Schwanz
take; nehmen; I take it; ich nehme es
tale; Geschichte; it's a tale; es ist eine Geschichte
talent; Talent; he has talent; er hat Talent
talented; talentiert; he is talented; er ist talentiert
talk; reden; they talk about it; sie reden darüber
tall; groß; he is tall; er ist groß
tank; Tank; it's a tank; es ist ein Tank
tape; Band; it's a tape; es ist ein Band
target; Ziel; it's a target; es ist ein Ziel
task; Aufgabe; it's a task; es ist eine Aufgabe
taste; Geschmack; it's a taste; es ist ein Geschmack
tax; Steuer; it's a tax; es ist eine Steuer
taxi; Taxi; it's a taxi; es ist ein Taxi
tea; Tee; I drink tea; ich trinke Tee
teach; lehren; they teach me; sie lehren mich
teacher; Lehrer; he is a teacher; er ist ein Lehrer
teaching; Lehre; it's teaching; es ist eine Lehre
team; Team; it's a team; es ist ein Team
tear; Träne/reißen; it's a tear/they tear the paper; es ist eine Träne/sie reißen das Papier
technical; technisch; it's a technical problem; es ist ein technisches Problem
technique; Technik; it's a technique; es ist eine Technik
technology; Technologie; I study technology; ich studiere Technologie
teenage; Teenager; it's a teenage problem; es ist ein Teenagerproblem
teenager; Teenager; he is a teenager; er ist ein Teenager
telephone; Telefon; it's a telephone; es ist ein Telefon
television; Fernsehen; it's a television; es ist ein Fernseher
tell; erzählen; they tell me a story; sie erzählen mir eine Geschichte
temperature; Temperatur; what's the temperature?; was ist die Temperatur?
temporary; temporär; it's temporary; es ist temporär
ten; zehn; it's ten o'clock; es ist zehn Uhr
tend; neigen; they tend to do that; sie neigen dazu, das zu tun
tennis; Tennis; they play tennis; sie spielen Tennis
tent; Zelt; it's a tent; es ist ein Zelt
term; Begriff/Semester; it's a term/it's a school term; es ist ein Begriff/es ist ein Schulsemester
terrible; schrecklich; it's terrible; es ist schrecklich
test; Test; it's a test; es ist ein Test
text; Text; it's a text; es ist ein Text
than; als; it's better than that; es ist besser als das
thank; danken; I thank you; ich danke dir
thanks; danke; thanks; danke
that; das; that is true; das ist wahr
the; der/die/das; it's the car; es ist das Auto
theatre; Theater; it's a theatre; es ist ein Theater
their; ihr; it's their house; es ist ihr Haus
theirs; ihr; it's theirs; es ist ihr
them; ihnen; I give it to them; ich gebe es ihnen
theme; Thema; it's a theme; es ist ein Thema
themselves; sich selbst; they do it themselves; sie machen es selbst
then; dann; I will go then; ich werde dann gehen
theory; Theorie; it's a theory; es ist eine Theorie
therapy; Therapie; it's therapy; es ist eine Therapie
there; dort; I am there; ich bin dort
therefore; deshalb; therefore, it's true; deshalb ist es wahr
they; sie; they are here; sie sind hier
thick; dick; it's thick; es ist dick
thief; Dieb; he is a thief; er ist ein Dieb
thin; dünn; it's thin; es ist dünn
thing; Ding; it's a thing; es ist ein Ding
think; denken; I think so; ich denke so
thinking; Denken; I like thinking; ich mag Denken
third; dritte; it's the third one; es ist der dritte
thirsty; durstig; I am thirsty; ich bin durstig
thirteen; dreizehn; it's thirteen; es ist dreizehn
thirty; dreißig; it's thirty; es ist dreißig
this; dies; this is good; dies ist gut
though; obwohl; though it's late; obwohl es spät ist
thought; Gedanke; it's a thought; es ist ein Gedanke
thousand; tausend; it's a thousand; es ist tausend
threat; Drohung; it's a threat; es ist eine Drohung
threaten; bedrohen; they threaten me; sie bedrohen mich
three; drei; it's three o'clock; es ist drei Uhr
throat; Hals; it's my throat; es ist mein Hals
through; durch; they go through the tunnel; sie gehen durch den Tunnel
throughout; durchgehend; they are here throughout the day; sie sind den ganzen Tag hier
throw; werfen; they throw the ball; sie werfen den Ball
thursday; Donnerstag; it's thursday; es ist Donnerstag
thus; also; thus, it's true; also ist es wahr
ticket; Ticket; it's a ticket; es ist ein Ticket
tidy; ordentlich; it's tidy; es ist ordentlich
tie; Krawatte/verbinden; it's a tie/they tie the rope; es ist eine Krawatte/sie verbinden das Seil
tight; eng; it's tight; es ist eng
till; bis; wait till then; warte bis dann
time; Zeit; it's time; es ist Zeit
tin; Dose; it's a tin; es ist eine Dose
tiny; winzig; it's tiny; es ist winzig
tip; Trinkgeld/Spitze; it's a tip/it's the tip; es ist ein Trinkgeld/es ist die Spitze
tired; müde; I am tired; ich bin müde
title; Titel; it's a title; es ist ein Titel
to; zu; I go to the shop; ich gehe zum Laden
today; heute; it's today; es ist heute
toe; Zeh; it's my toe; es ist mein Zeh
together; zusammen; they are together; sie sind zusammen
toilet; Toilette; it's a toilet; es ist eine Toilette
tomato; Tomate; it's a tomato; es ist eine Tomate
tomorrow; morgen; it's tomorrow; es ist morgen
tone; Ton; it's a tone; es ist ein Ton
tongue; Zunge; it's my tongue; es ist meine Zunge
tonight; heute Abend; it's tonight; es ist heute Abend
too; auch/zu; I want to go too/it's too much; ich möchte auch gehen/es ist zu viel
tool; Werkzeug; it's a tool; es ist ein Werkzeug
tooth; Zahn; it's my tooth; es ist mein Zahn
top; Spitze; it's the top; es ist die Spitze
topic; Thema; it's a topic; es ist ein Thema
total; total; it's the total; es ist das Total
totally; total; it's totally true; es ist total wahr
touch; berühren; they touch it; sie berühren es
tough; hart; it's tough; es ist hart
tour; Tour; it's a tour; es ist eine Tour
tourism; Tourismus; it's about tourism; es geht um Tourismus
tourist; Tourist; he is a tourist; er ist ein Tourist
towards; in Richtung; they walk towards the house; sie gehen in Richtung des Hauses
towel; Handtuch; it's a towel; es ist ein Handtuch
tower; Turm; it's a tower; es ist ein Turm
town; Stadt; it's a small town; es ist eine kleine Stadt
toy; Spielzeug; it's a toy; es ist ein Spielzeug
track; Gleis/Spur; it's a track/they are on the track; es ist ein Gleis/sie sind auf der Spur
trade; Handel; it's about trade; es geht um Handel
tradition; Tradition; it's a tradition; es ist eine Tradition
traditional; traditionell; it's traditional; es ist traditionell
traffic; Verkehr; it's traffic; es ist Verkehr
train; Zug/trainieren; it's a train/they train people; es ist ein Zug/sie trainieren Leute
trainer; Trainer; he is a trainer; er ist ein Trainer
training; Training; it's a training; es ist ein Training
transfer; übertragen; they transfer the money; sie übertragen das Geld
transform; verwandeln; they transform the place; sie verwandeln den Ort
transition; Übergang; it's a transition; es ist ein Übergang
translate; übersetzen; they translate the text; sie übersetzen den Text
translation; Übersetzung; it's a translation; es ist eine Übersetzung
transport; transportieren; they transport the goods; sie transportieren die Güter
travel; reisen; I travel; ich reise
traveller; Reisender; he is a traveller; er ist ein Reisender
treat; behandeln; they treat the illness; sie behandeln die Krankheit
treatment; Behandlung; it's a treatment; es ist eine Behandlung
tree; Baum; it's a tree; es ist ein Baum
trend; Trend; it's a trend; es ist ein Trend
trial; Versuch/Prozess; it's a trial; es ist ein Versuch/Prozess
trick; Trick; it's a trick; es ist ein Trick
trip; Reise; it's a trip; es ist eine Reise
tropical; tropisch; it's tropical; es ist tropisch
trouble; Problem/Ärger; it's trouble/I have trouble; es ist ein Problem/ich habe Ärger
trousers; Hose; they are trousers; es ist eine Hose
truck; LKW; it's a truck; es ist ein LKW
true; wahr; it's true; es ist wahr
truly; wirklich; it's truly good; es ist wirklich gut
trust; vertrauen; I trust you; ich vertraue dir
truth; Wahrheit; it's the truth; es ist die Wahrheit
try; versuchen; they try to do it; sie versuchen es zu tun
tube; Röhre; it's a tube; es ist eine Röhre
tuesday; Dienstag; it's tuesday; es ist Dienstag
tune; Melodie; it's a tune; es ist eine Melodie
tunnel; Tunnel; it's a tunnel; es ist ein Tunnel
turn; drehen; they turn around; sie drehen sich um
tv; Fernseher; it's a tv; es ist ein Fernseher
twelve; zwölf; it's twelve o'clock; es ist zwölf Uhr
twenty; zwanzig; it's twenty; es ist zwanzig
twice; zweimal; I go there twice; ich gehe zweimal dorthin
twin; Zwilling; it's a twin; es ist ein Zwilling
two; zwei; it's two; es ist zwei
type; Art; what type?; welche Art?
typical; typisch; it's typical; es ist typisch
typically; typisch; typically, it's like that; typischerweise ist es so
tyre; Reifen; it's a tyre; es ist ein Reifen
ugly; hässlich; it's ugly; es ist hässlich
ultimately; letztendlich; ultimately, it's true; letztendlich ist es wahr
umbrella; Regenschirm; it's an umbrella; es ist ein Regenschirm
unable; unfähig; I am unable to do it; ich bin unfähig, es zu tun
uncle; Onkel; he is my uncle; er ist mein Onkel
uncomfortable; unbequem; it's uncomfortable; es ist unbequem
unconscious; bewusstlos; he is unconscious; er ist bewusstlos
under; unter; it's under the table; es ist unter dem Tisch
underground; unterirdisch; it's underground; es ist unterirdisch
understand; verstehen; I understand it; ich verstehe es
understanding; Verständnis; it's an understanding; es ist ein Verständnis
underwear; Unterwäsche; it's underwear; es ist Unterwäsche
unemployed; arbeitslos; he is unemployed; er ist arbeitslos
unemployment; Arbeitslosigkeit; it's about unemployment; es geht um Arbeitslosigkeit
unexpected; unerwartet; it's unexpected; es ist unerwartet
unfair; unfair; it's unfair; es ist unfair
unfortunately; unglücklicherweise; unfortunately, it's true; unglücklicherweise ist es wahr
unhappy; unglücklich; I am unhappy; ich bin unglücklich
uniform; Uniform; it's a uniform; es ist eine Uniform
union; Gewerkschaft; it's a union; es ist eine Gewerkschaft
unique; einzigartig; it's unique; es ist einzigartig
unit; Einheit; it's a unit; es ist eine Einheit
united; vereint; they are united; sie sind vereint
universe; Universum; it's the universe; es ist das Universum
university; Universität; it's a university; es ist eine Universität
unknown; unbekannt; it's unknown; es ist unbekannt
unless; es sei denn; unless you do that; es sei denn, du tust das
unlike; unähnlich; it's unlike anything; es ist unähnlich allem
unlikely; unwahrscheinlich; it's unlikely; es ist unwahrscheinlich
unnecessary; unnötig; it's unnecessary; es ist unnötig
unpleasant; unangenehm; it's unpleasant; es ist unangenehm
until; bis; I wait until then; ich warte bis dann
unusual; ungewöhnlich; it's unusual; es ist ungewöhnlich
up; hoch; they go up the stairs; sie gehen die Treppe hoch
update; aktualisieren; they update the information; sie aktualisieren die Informationen
upon; auf; it's upon the table; es ist auf dem Tisch
upper; obere; it's the upper part; es ist der obere Teil
upset; aufgebracht; I am upset; ich bin aufgebracht
upstairs; oben; it's upstairs; es ist oben
